getpid()                                                                                                                                   = 526
strchr("()<>;&| \t\n", '#')                                                                                                                = nil
strchr("()<>;&| \t\n", '$')                                                                                                                = nil
strchr("()<>;&| \t\n", '%')                                                                                                                = nil
strchr("()<>;&| \t\n", '&')                                                                                                                = "&| \t\n"
strchr("()<>;&| \t\n", ''')                                                                                                                = nil
strchr("()<>;&| \t\n", '(')                                                                                                                = "()<>;&| \t\n"
strchr("()<>;&| \t\n", ')')                                                                                                                = ")<>;&| \t\n"
strchr("()<>;&| \t\n", '*')                                                                                                                = nil
strchr("()<>;&| \t\n", '+')                                                                                                                = nil
strchr("()<>;&| \t\n", ',')                                                                                                                = nil
strchr("()<>;&| \t\n", '-')                                                                                                                = nil
strchr("()<>;&| \t\n", '.')                                                                                                                = nil
strchr("()<>;&| \t\n", '/')                                                                                                                = nil
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
strlen("()<>;&| \t\n")                                                                                                                     = 10
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
mbrtowc(0, 0x4bada9, 1, 0x7ffff3a903f0)                                                                                                    = 1
strlen("()<>;&| \t\n")                                                                                                                     = 10
